date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:43:19	344/344	---M-Z	200	added ('OK')	text/plain	date:Mon,%2001%20Apr%202024%2019:43:20%20GMT	https://www.numericx.co.uk/robots.txt		(from )
00:43:21	313862/313862	---M-Z	200	added ('OK')	text/html	etag:W/%224f514ebfc1816626fe1b4c287574cec0%22	https://www.numericx.co.uk/	D:/Numerix/Numerix%20old/www.numericx.co.uk/index.html	(from )
00:43:22	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Mon,%2001%20Apr%202024%2019:43:23%20GMT	http://static1.squarespace.com/static/646e19f8a0d4e05be5c35bac/t/65e0b1dcefcc1138a39ae1be/1709224413066/NX+(1)+(1).png?format=1500w	D:/Numerix/Numerix%20old/static1.squarespace.com/static/646e19f8a0d4e05be5c35bac/t/65e0b1dcefcc1138a39ae1be/1709224413066/NX+(1)+(1).026f7.delayed	(from https://www.numericx.co.uk/)
00:43:25	20685/20685	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2001%20Apr%202024%2019:43:25%20GMT	http://use.typekit.net/ik/duXXvBxCNSSRnMTRrPnj3xQjDv9wGiL-64p5vosfurqfeztgfFHN4UJLFRbh52jhWDjXFc9U5AjtjQgqFe93FA48FAwDFA4yjUGMJ6ol-Ao8S1ZyOAuzZemkdKJPjAszjc9lZhBkjAuzdcblSY4zJygcScmTZhyXOWs8pYblSY4zH6qJlPCbMg6IJMJ7fbKkHUMMeMS6MKG4fObnIMMj2KMfH6qJCkCbMg6sJMJ7fbRDFgMgeMb6MKG4fVMXIMIjgkMfH6qJvRbbMs65JMJ7fbRUFgMgegI6MKG4f4yTIMJjgfMfH6qJ1cqbMy6BJMJ7fbK6-sMfeMj6MKG4f4TTIMJjgkMfH6qJcAqbMy65JMJ7fbKd-sMfegI6MTMglH1Rn6j.js	D:/Numerix/Numerix%20old/use.typekit.net/ik/duXXvBxCNSSRnMTRrPnj3xQjDv9wGiL-64p5vosfurqfeztgfFHN4UJLFRbh52jhWDjXFc9U5AjtjQgqFe93FA48FAwDFA4yjUGMJ6ol-Ao8S1ZyOAuzZemkdKJPjAszjc9lZhBkjAuzdcblSY4zJygcScmTZhyXOWs8pYblSY4zH6qJlPCbMg6IJMJ7fbKkHU	(from https://www.numericx.co.uk/)
00:43:26	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	D:/Numerix/Numerix%20old/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://www.numericx.co.uk/)
00:43:28	44176/44176	---M-Z	200	added ('OK')	text/javascript	etag:%22f2d918d2d0d83d1f40a7cf2749596f38%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-75c75549399ea90c12a0-min.en-US.js	D:/Numerix/Numerix%20old/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-75c75549399ea90c12a0-min.en-US.js	(from https://www.numericx.co.uk/)
00:43:30	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	D:/Numerix/Numerix%20old/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://www.numericx.co.uk/)
00:43:32	124621/124621	---M-Z	200	added ('OK')	text/javascript	etag:%220eb50c18fc47d329f79069ed49032cf0%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-1edcdb1d4b6b94ec8c7e-min.en-US.js	D:/Numerix/Numerix%20old/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-1edcdb1d4b6b94ec8c7e-min.en-US.js	(from https://www.numericx.co.uk/)
00:43:36	110569/110569	---M--	200	added ('OK')	image/png	etag:COW7iI/90IQDEAE=	https://images.squarespace-cdn.com/content/646e19f8a0d4e05be5c35bac/047bedfa-e1f4-4fa3-8490-2bf1cc44390a/NX+%281%29+%281%29.png?format=1500w&content-type=image%2Fpng	D:/Numerix/Numerix%20old/images.squarespace-cdn.com/content/646e19f8a0d4e05be5c35bac/047bedfa-e1f4-4fa3-8490-2bf1cc44390a/NX+(1)+(1)2acd.png	(from https://www.numericx.co.uk/)
00:43:43	246078/246078	---M-Z	200	added ('OK')	text/javascript	etag:%226b21148444160fe6785985c22d99a21f%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-3598b219a3c023c1915a-min.en-US.js	D:/Numerix/Numerix%20old/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-3598b219a3c023c1915a-min.en-US.js	(from https://www.numericx.co.uk/)
00:43:46	41309/41309	---M-Z	200	added ('OK')	text/javascript	etag:%228a6500187051e681289363f0a748df3a%22	http://assets.squarespace.com/universal/scripts-compressed/performance-492502057052f8dfae71-min.en-US.js	D:/Numerix/Numerix%20old/assets.squarespace.com/universal/scripts-compressed/performance-492502057052f8dfae71-min.en-US.js	(from https://www.numericx.co.uk/)
00:43:46	1196455/1196455	---M-Z	200	added ('OK')	text/javascript	etag:%22fbe43b1f7f944c9fde759ab090f61c42%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f117db4eb7fd4392375-min.en-US.js	D:/Numerix/Numerix%20old/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6f117db4eb7fd4392375-min.en-US.js	(from https://www.numericx.co.uk/)
00:43:51	1275446/1275446	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Apr%202024%2019:43:48%20GMT	https://static1.squarespace.com/static/versioned-site-css/646e19f8a0d4e05be5c35bac/25/5c5a519771c10ba3470d8101/646e19f8a0d4e05be5c35bb5/1512/site.css	D:/Numerix/Numerix%20old/static1.squarespace.com/static/versioned-site-css/646e19f8a0d4e05be5c35bac/25/5c5a519771c10ba3470d8101/646e19f8a0d4e05be5c35bb5/1512/site.css	(from https://www.numericx.co.uk/)
00:43:59	651635/651635	---M-Z	200	added ('OK')	text/javascript	etag:%22c76a256dbdf6dbff8068db7385c77e6a%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-98af0e67baae44116c1c-min.en-US.js	D:/Numerix/Numerix%20old/assets.squarespace.com/universal/scripts-compressed/common-vendors-98af0e67baae44116c1c-min.en-US.js	(from https://www.numericx.co.uk/)
